ref,estado,status,bt,preco,precoAnterior,tipo,tipologia,concelho,freguesia,consultor,contrato,idade,dias,modificado
121161139-358,Arrendado,6,2,950,,Armazém,,Loures,"Camarate, Unhos e Apelação",Nelson Timóteo,2026-06-26,52,33,2026-07-29
121161139-359,Em mercado,1,2,400,,Armazém,,Loures,"Camarate, Unhos e Apelação",Nelson Timóteo,2026-06-26,52,3,2026-06-29
121161139-360,Em mercado,1,1,275000,,Apartamento,T2,Setúbal,São Sebastião,Nelson Timóteo,2026-07-28,20,0,2026-07-28
121161139-361,Em mercado,1,2,1700,,Armazém,,Loures,Lousa,Nelson Timóteo,2026-07-29,19,2,2026-07-31
121161139-363,Em mercado,1,1,455000,,Moradia,T3,Sintra,"Almargem do Bispo, Pêro Pinheiro e Montelavar",Nelson Timóteo,2026-08-07,10,1,2026-08-08
121161139-52,Em mercado,1,1,25000,,Terreno,,Mafra,"Enxara do Bispo, Gradil e Vila Franca do Rosário",Nelson Timóteo,2020-06-03,2266,2220,2026-05-27
121161162-32,Em mercado,1,1,335000,,Apartamento,T2,Odivelas,Odivelas,Adriana Rebelo,2026-08-14,3,0,2026-08-14
121161181-3,Em mercado,1,1,150000,,Terreno,,Odemira,Vale de Santiago,Diogo Costa,2025-09-16,335,308,2026-07-21
121161189-55,Em mercado,1,1,1400000,1390000,Prédio,,Lisboa,Misericórdia,Susana Aleixo,2026-02-05,193,148,2026-07-31
121161189-59,Em mercado,1,2,550,600,Outros - Comercial,,Loures,Loures,Susana Aleixo,2026-04-22,117,89,2026-07-20
121161189-64,Em mercado,1,2,650,,Loja,,Loures,Loures,Susana Aleixo,2026-07-07,41,13,2026-07-20
121161193-17,Em mercado,1,1,359000,,Apartamento,T2,Odivelas,Odivelas,Jacinta da Silva,2026-05-05,104,64,2026-07-08
121161193-18,Em mercado,1,1,299000,,Apartamento,T1,Odivelas,Odivelas,Jacinta da Silva,2026-06-15,63,17,2026-07-02
121161194-20,Em mercado,1,1,285000,349000,Armazém,,Sobral de Monte Agraço,Sobral de Monte Agraço,Vitor Pimpão,2024-11-21,634,616,2026-07-30
121161194-28,Em mercado,1,1,729000,,Prédio,,Odivelas,Ramada e Caneças,Vitor Pimpão,2026-04-08,131,85,2026-06-03
121161195-17,Vendido,4,1,320000,,Apartamento,T3,Odivelas,Odivelas,Jorge Valente,2026-03-30,140,62,2026-07-28
121161195-18,Em mercado,1,1,381000,,Apartamento,T2,Odivelas,Odivelas,Jorge Valente,2026-08-03,14,1,2026-08-04
121161195-4,Em mercado,1,1,599000,,Moradia,T7,Loures,Bucelas,Jorge Valente,2022-11-25,1361,1161,2026-07-30
121161202-1,Em mercado,1,1,170000,,Apartamento,T2,Guarda,Guarda,Isabel Alves,2026-05-11,98,52,2026-05-20
121161202-2,Em mercado,1,1,560000,,Moradia,T5,Alenquer,Alenquer (Santo Estêvão e Triana),Isabel Alves,2026-05-11,98,51,2026-05-19
